Date,Fx
1972-01,1.00592187
1972-02,1.00458333
1972-03,0.99839489
1972-04,0.99559375
1972-05,0.98866477
1972-06,0.97937500
1972-07,0.98385938
1972-08,0.98222826
1972-09,0.98287500
1972-10,0.98257441
1972-11,0.98720238
1972-12,0.99667763
1973-01,0.99914773
1973-02,0.99553125
1973-03,0.99655511
1973-04,1.00061000
1973-05,1.00048182
1973-06,0.99831429
1973-07,0.99941905
1973-08,1.00383478
1973-09,1.00810526
1973-10,1.00089091
1973-11,0.99878095
1973-12,0.99941053
1974-01,0.99140000
1974-02,0.97669000
1974-03,0.97200000
1974-04,0.96726667
1974-05,0.96213636
1974-06,0.96640000
1974-07,0.97608182
1974-08,0.97978182
1974-09,0.98625000
1974-10,0.98296364
1974-11,0.98715000
1974-12,0.98809000
1975-01,0.99474545
1975-02,1.00054000
1975-03,1.00029000
1975-04,1.01108182
1975-05,1.02814286
1975-06,1.02636191
1975-07,1.03070909
1975-08,1.03529524
1975-09,1.02620952
1975-10,1.02499091
1975-11,1.01371579
1975-12,1.01382857
1976-01,1.00637143
1976-02,0.99371000
1976-03,0.98580000
1976-04,0.98333333
1976-05,0.98002000
1976-06,0.97359091
1976-07,0.97216191
1976-08,0.98531818
1976-09,0.97496190
1976-10,0.97263000
1976-11,0.98572381
1976-12,1.01871818
1977-01,1.01089000
1977-02,1.02786500
1977-03,1.05108696
1977-04,1.05108500
1977-05,1.04853809
1977-06,1.05747727
1977-07,1.06099500
1977-08,1.07489130
1977-09,1.07325238
1977-10,1.09875500
1977-11,1.10923333
1977-12,1.09723000
1978-01,1.10111429
1978-02,1.11316000
1978-03,1.12560455
1978-04,1.14156500
1978-05,1.11887273
1978-06,1.12160909
1978-07,1.12450000
1978-08,1.14028261
1978-09,1.16629000
1978-10,1.18268095
1978-11,1.17275714
1978-12,1.17947369
1979-01,1.18983182
1979-02,1.19545000
1979-03,1.17387273
1979-04,1.14633000
1979-05,1.15562727
1979-06,1.17227143
1979-07,1.16344761
1979-08,1.17056521
1979-09,1.16522631
1979-10,1.17525454
1979-11,1.17963809
1979-12,1.16957894
1980-01,1.16386363
1980-02,1.15600952
1980-03,1.17309047
1980-04,1.18561428
1980-05,1.17308571
1980-06,1.15152380
1980-07,1.15191363
1980-08,1.15912380
1980-09,1.16461904
1980-10,1.16904545
1980-11,1.18604736
1980-12,1.19678571
1981-01,1.19074761
1981-02,1.19875499
1981-03,1.19123636
1981-04,1.19079523
1981-05,1.20091999
1981-06,1.20399545
1981-07,1.21144999
1981-08,1.22297142
1981-09,1.20069999
1981-10,1.20276190
1981-11,1.18739499
1981-12,1.18510952
1982-01,1.19241499
1982-02,1.21402999
1982-03,1.22039564
1982-04,1.22475237
1982-05,1.23391999
1982-06,1.27527727
1982-07,1.26988571
1982-08,1.24513181
1982-09,1.23468095
1982-10,1.22993499
1982-11,1.22620952
1982-12,1.23818571
1983-01,1.22843499
1983-02,1.22730499
1983-03,1.22619564
1983-04,1.23215499
1983-05,1.22879047
1983-06,1.23215908
1983-07,1.23239999
1983-08,1.23364347
1983-09,1.23241428
1983-10,1.23187499
1983-11,1.23671904
1983-12,1.24684999
1984-01,1.24832856
1984-02,1.24795237
1984-03,1.27003636
1984-04,1.27940999
1984-05,1.29429545
1984-06,1.30382380
1984-07,1.32397618
1984-08,1.30338695
1984-09,1.31434736
1984-10,1.31876817
1984-11,1.31630952
1984-12,1.32015262
1985-01,1.32384090
1985-02,1.35299499
1985-03,1.38342380
1985-04,1.36489999
1985-05,1.37566817
1985-06,1.36730999
1985-07,1.35244090
1985-08,1.35732726
1985-09,1.37023999
1985-10,1.36652272
1985-11,1.37651499
1985-12,1.39490499
1986-01,1.40657727
1986-02,1.40349499
1986-03,1.40089499
1986-04,1.38751817
1986-05,1.37533809
1986-06,1.38970475
1986-07,1.38058181
1986-08,1.38830952
1986-09,1.38707142
1986-10,1.38830908
1986-11,1.38605262
1986-12,1.37979999
1987-01,1.36031904
1987-02,1.33388499
1987-03,1.31921363
1987-04,1.31892380
1987-05,1.34119499
1987-06,1.33854999
1987-07,1.32581363
1987-08,1.32557142
1987-09,1.31528095
1987-10,1.30949523
1987-11,1.31610999
1987-12,1.30743332
1988-01,1.28529499
1988-02,1.26789999
1988-03,1.24905217
1988-04,1.23510499
1988-05,1.23685714
1988-06,1.21739090
1988-07,1.20734499
1988-08,1.22430454
1988-09,1.22650951
1988-10,1.20524999
1988-11,1.21738095
1988-12,1.19601999
1989-01,1.19142856
1989-02,1.18899999
1989-03,1.19529090
1989-04,1.18857499
1989-05,1.19269999
1989-06,1.19834999
1989-07,1.18880999
1989-08,1.17536363
1989-09,1.18264999
1989-10,1.17477618
1989-11,1.16955237
1989-12,1.16116841
1990-01,1.17135908
1990-02,1.19648499
1990-03,1.17981818
1990-04,1.16385499
1990-05,1.17456818
1990-06,1.17281428
1990-07,1.15682856
1990-08,1.14443636
1990-09,1.15815789
1990-10,1.15981364
1990-11,1.16310000
1990-12,1.16004737
1991-01,1.15590455
1991-02,1.15459000
1991-03,1.15688500
1991-04,1.15330909
1991-05,1.14964091
1991-06,1.14373500
1991-07,1.14912273
1991-08,1.14474286
1991-09,1.13680499
1991-10,1.12790000
1991-11,1.13033000
1991-12,1.14574500
1992-01,1.15647727
1992-02,1.18253000
1992-03,1.19263182
1992-04,1.18754762
1992-05,1.19903000
1992-06,1.19587273
1992-07,1.19172727
1992-08,1.19086500
1992-09,1.22227619
1992-10,1.24502857
1992-11,1.26796000
1992-12,1.27272857
1993-01,1.27755000
1993-02,1.25974500
1993-03,1.24686522
1993-04,1.26200000
1993-05,1.27008500
1993-06,1.27861818
1993-07,1.28171429
1993-08,1.30876190
1993-09,1.32116190
1993-10,1.32611500
1993-11,1.31773333
1993-12,1.33070476
1994-01,1.31736500
1994-02,1.34208500
1994-03,1.36430000
1994-04,1.38246500
1994-05,1.38096190
1994-06,1.38378182
1994-07,1.38249500
1994-08,1.37755455
1994-09,1.35372381
1994-10,1.35001500
1994-11,1.36491429
1994-12,1.38842000
1995-01,1.41289524
1995-02,1.40051500
1995-03,1.40736522
1995-04,1.37585789
1995-05,1.36084091
1995-06,1.37720455
1995-07,1.36086500
1995-08,1.35492727
1995-09,1.35073500
1995-10,1.34549524
1995-11,1.35317619
1995-12,1.36946842
1996-01,1.36654546
